jahr,ort,tage,typ
2015,Säntis,123,Eistage
2015,Samedan,41,Eistage
2015,Sitten,1,Eistage
2015,St. Gallen,21,Eistage
2015,Zürich-Fluntern,9,Eistage
2016,Basel-Binningen,4,Eistage
2016,Bern-Zollikofen,7,Eistage
2016,Davos,39,Eistage
2016,Genf-Cointrin,1,Eistage
2016,Locarno-Monti,0,Eistage
2016,Lugano,0,Eistage
2016,Luzern,2,Eistage
2016,Neuenburg,5,Eistage
2016,Säntis,151,Eistage
2016,Samedan,37,Eistage
2016,Sitten,1,Eistage
2016,St. Gallen,11,Eistage
2016,Zürich-Fluntern,8,Eistage
2017,Basel-Binningen,13,Eistage
2017,Bern-Zollikofen,19,Eistage
2017,Davos,54,Eistage
2017,Genf-Cointrin,13,Eistage
2017,Locarno-Monti,0,Eistage
2017,Lugano,0,Eistage
2017,Luzern,15,Eistage
2017,Neuenburg,14,Eistage
2017,Säntis,161,Eistage
2017,Samedan,59,Eistage
2017,Sitten,13,Eistage
2017,St. Gallen,32,Eistage
2017,Zürich-Fluntern,21,Eistage
2018,Basel-Binningen,6,Eistage
2018,Bern-Zollikofen,13,Eistage
2018,Davos,52,Eistage
2018,Genf-Cointrin,3,Eistage
2018,Locarno-Monti,0,Eistage
2018,Lugano,0,Eistage
2018,Luzern,8,Eistage
2018,Neuenburg,7,Eistage
2018,Säntis,127,Eistage
2018,Samedan,59,Eistage
2018,Sitten,1,Eistage
2018,St. Gallen,35,Eistage
2018,Zürich-Fluntern,13,Eistage
2019,Basel-Binningen,2,Eistage
2019,Bern-Zollikofen,6,Eistage
2019,Davos,46,Eistage
2019,Genf-Cointrin,0,Eistage
2019,Locarno-Monti,0,Eistage
2019,Lugano,0,Eistage
2019,Luzern,3,Eistage
2019,Neuenburg,2,Eistage
2019,Säntis,141,Eistage
2019,Samedan,50,Eistage
2019,Sitten,0,Eistage
2019,St. Gallen,16,Eistage
2019,Zürich-Fluntern,8,Eistage
2020,Basel-Binningen,0,Eistage
2020,Bern-Zollikofen,3,Eistage
2020,Davos,34,Eistage
2020,Genf-Cointrin,0,Eistage
2020,Locarno-Monti,0,Eistage
2020,Lugano,0,Eistage
